vgs,id,vbat,rvoltmeter,temperature,method,score_weight,score_max_vgs,chart_name,series_name
-6,0,9.00,1.008M,24.0,vgs_id,1.0,0.25,chart1,Vgs:Id
-5,0
-4,0
-3,0
-2,0
-1,0
-449m,0
-428m,1u
-412m,2u
-396m,4u
-375m,7u
-338m,20u
-309m,41u
-270m,97u
-258m,125u
-232m,199u
-217m,260u
-183.0m,438u
-170.5m,521u
-140.0m,766u
-115.4m,1009u
-97.0m,1216u
-78.4m,1448u
-63.0m,1655u
-47.4m,1887u
-35.5m,2.08m
-23.1m,2.28m
-10.6m,2.49m
-7.5m,2.55m
0,2.66m
4.3m,2.76m
16.5m,2.99m
34.8m,3.34m
52.9m,3.70m
71.6m,4.09m
84.1m,4.36m
120.0m,5.17m
134.3m,5.52m
169.3m,6.39m
209m,7.44m
222m,7.80m
250m,8.58m
283m,9.60m
311m,10.46m