vgd,is,vbat,rvoltmeter,temperature,method,score_weight,chart_name,series_name
-6,0,9.00,1.008M,24.8,vgd_is,1.0,chart1,Vgd:Is swapped
-5.000,0
-4.000,0
-3.000,0
-2.000,0
-1.000,0
-736m,1u
-702m,2u
-690m,3u
-659m,5u
-628m,9u
-603m,13u
-582m,17u
-560m,22u
-529m,30u
-505m,37u
-474m,48u
-437m,64u
-412m,76u
-377m,94u
-332m,121u
-293m,148u
-280m,157u
-243m,185u
-211m,210u
-190m,229u
-159m,258u
-101m,317u
-82m,337u
-60m,361u
-30.0m,397u
-5.8m,426u
0,433u
18.5m,457u
25.0m,466u
55.2m,506u
79.9m,541u
122.5m,603u
165.5m,669u
228m,771u
271m,848u
295m,893u
335m,969u
363m,1024u
394m,1090u
437m,1182u
492m,1314u
514m,1369u
567m,1534u
643m,1937u