vsd,is,vgd,rvoltmeter,temperature,method,score_weight,chart_name,series_name
0,0,-100.0m,1.008M,24.7,vsd_is,1.0,chart2,Vsd:Is@Vgd=-100mV swapped
3.4m,3u
62.3m,50u
82.9m,65u
112.8m,86u
143.3m,106u
213m,145u
259m,168u
301m,185u
368m,208u
454m,229u
536m,243u
628m,252u
746m,260u
861m,265u
989m,269u
1.000,269u
1.076,271u
1.184,273u
1.248,274u
1.575,280u
1.959,284u
2.20,287u
2.70,292u
3.16,295u
3.56,298u
4.14,302u
4.67,305u
5.25,308u
5.75,311u
6.19,313u
6.68,315u
7.16,317u
7.64,319u
8.22,322u
8.45,323u
9.00,325u